Origin Countries,State Code,AUS,NZL,ASM,COK,FJI,PYF,GUM,KIR,MHL,FSM,NRU,NCL,NFK,MNP,NIU,PLW,PNG,WSM,SLB,TKL,TON,TUV,VUT,WLF,CHN,HKG,JPN,KOR,TWN,MAC,MNG,PRK,IDN,MYS,PHL,SGP,THA,VNM,BRN,KHM,LAO,MMR,TLS,BGD,IND,LKA,AFG,BTN,MDV,NPL,PAK,CAN,USA,MEX,BMU,GRL,SPM,COL,PER,VEN,BOL,ECU,ARG,BRA,CHL,URY,FLK,GUF,GUY,PRY,SUR,BLZ,CRI,SLV,GTM,HND,NIC,PAN,ATG,BHS,BRB,DMA,DOM,GRD,HTI,JAM,PRI,KNA,LCA,VCT,TTO,VIR,AIA,ABW,CYM,CUB,GLP,MTQ,MSR,ANT,TCA,VGB,AUT,BEL,DNK,FIN,FRA,DEU,GBR,GRC,IRL,ITA,LUX,NLD,PRT,ESP,SWE,CHE,ISL,LIE,NOR,AND,BIH,FRO,GIB,MKD,MCO,SMR,SCG,ALB,BGR,HRV,CYP,CZE,HUN,MLT,POL,ROM,SVK,SVN,EST,LVA,LTU,RUS,ARM,AZE,BLR,GEO,KAZ,KGZ,MDA,TJK,TKM,UKR,UZB,TUR,BHR,IRN,IRQ,ISR,JOR,KWT,LBN,PSE,OMN,QAT,SAU,SYR,ARE,YEM,MAR,TUN,DZA,EGY,LBY,BWA,ZAF,LSO,NAM,SWZ,MWI,MOZ,TZA,ZMB,ZWE,AGO,COD,MUS,SYC,MDG,UGA,BEN,BFA,BDI,CMR,CPV,CAF,TCD,COM,COG,CIV,DJI,GNQ,ERI,ETH,GAB,GMB,GHA,GIN,GNB,KEN,LBR,MLI,MRT,MYT,NER,NGA,REU,RWA,SHN,STP,SEN,SLE,SOM,SDN,TGO
Andorra,AND,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,2,0,0,0,2,5,6,1,3,0,0,0,0,1,0,0,2,0,0,0,0,11,80,15,80,3,0,0,0,0,4,4,0,3,22,0,9,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4,32,1,1,1318,827,42,4,1,4,2,6,420,3579,1,41,0,0,3,0,0,1,0,0,0,2,120,0,0,1,0,15,1,0,0,2,0,0,1,0,0,24,0,0,1,0,0,1,1,2,1,14,19,8,1,0,1,15,19,39,3,5,0,0,0,1,7,1,1,0,3,0,7,0,30,0,2,0,2,4,593,1,12,1,20,0,0,0,1,0,5,11,1,0,0,0,0,0,5,4,0,2,16,0,0,5,3,0,43,0,0,0,0,0,5,1,0,0,0,0,0,3,0,1
Bosnia and Herzegovina,BIH,23848,464,2,10,10,41,15,11,11,0,22,338,1,3,0,2,32,3,0,0,14,0,2,4,300,773,19,5,332,14,15,10,309,825,1007,141,619,33,11,28,2,107,3,21,433,11,48,13,4,1916,14195,26212,100134,18,34,35,0,3,13,25,10,7,619,536,12,7,0,2,0,11,2,2,196,13,5,6,2,5,2,1,5,2,3,13,30,7,903,7,1,8,55,19,4,82,0,507,7,32,0,8,1,5,134650,47,16520,1684,24010,216085,7336,372,1063,13989,1755,563,45,1375,53949,47914,168,285,11819,14,0,73,14,387,45,146,10201,1645,63,456580,20,1442,423,20,5766,2413,135,25777,116,1049,99,4255,55,0,98,67,84,246,246,297,155,2416,3337,2368,140,48,137,2629,3401,6867,575,811,61,0,36,139,1303,230,262,13,468,30,1283,2,5311,12,374,75,272,643,252,192,2050,162,3576,12,14,24,64,15,960,84,208,14,0,34,13,87,834,29,0,15,188,20,65,941,549,5,517,44,41,2,0,81,881,133,27,1,4,61,9,23,0,112
Faroe Islands,FRO,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,101,0,3,0,0,0,1,327,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,GIB,416,60,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,4,0,0,0,4,11,13,2,8,0,0,0,0,1,0,0,6,0,1,0,0,25,186,255,572,101,0,0,0,0,0,1,0,6,50,1,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,7,6,0,0,53,1980,11847,12,53,1028,1,29,4,0,5,41,0,0,7,0,0,2,0,0,1,4,288,0,1,3,1,1,2,0,0,4,0,0,2,0,0,56,1,0,1,1,1,3,3,4,2,32,44,4,2,1,2,35,42,91,7,11,1,0,0,2,16,3,5,0,9,8,17,0,69,0,5,1,4,8,3,3,27,2,47,0,0,0,1,0,13,1,3,0,0,0,0,1,11,0,0,0,2,0,1,12,7,0,7,1,1,0,0,1,12,2,0,0,0,1,0,0,0,1
"Macedonia, the former Yugoslav Republic of",MKD,43527,592,3,2,2,8,3,7,2,0,40,79,1,1,0,3,6,1,0,0,3,0,1,8,63,154,15,1,66,3,3,2,61,164,200,28,123,7,2,6,0,21,1,4,86,2,10,3,1,381,2823,7330,19022,2,7,7,0,1,0,8,2,2,260,267,6,0,0,1,0,2,1,1,39,3,1,1,0,31,0,0,1,0,3,3,6,1,180,1,0,2,11,4,1,16,0,101,1,6,0,1,0,1,14002,46,1607,163,9858,16287,1425,937,36,25915,257,23,12,205,2971,41833,0,83,716,3,71,16,3,0,9,32,2224,55,13,10329,6,533,73,4,289,135,156,4872,23,35,5,846,11,0,20,13,17,49,49,59,31,481,664,31515,28,53,302,523,3818,1366,1268,244,20,0,40,156,1462,506,53,3,94,8,255,0,1056,2,74,15,54,128,50,38,408,32,711,2,3,5,13,3,191,17,41,3,0,7,3,17,166,6,0,3,37,4,13,187,109,1,103,9,8,0,0,16,175,26,5,0,1,12,2,5,0,22
Monaco,MCO,40,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,12,1,0,5,0,0,0,63,13,538,2,10,3,0,0,0,2,1,0,7,0,1,0,0,29,217,110,592,3,0,0,0,0,13,4,0,7,59,1,10,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,14,0,0,0,1,0,0,1,0,8,0,0,0,0,0,0,23,98,7,2,14706,2349,246,22,5,21,7,50,0,161,18,181,0,0,9,0,0,2,0,0,0,5,342,0,1,3,0,2,1,0,2,5,0,0,2,0,0,65,1,0,2,1,1,4,4,5,2,37,51,5,2,1,2,40,49,105,8,12,1,0,1,2,19,3,18,1,32,69,20,0,81,0,6,1,4,10,4,3,31,2,55,0,0,0,1,0,15,1,3,0,0,1,0,1,13,0,0,0,3,0,1,14,8,0,8,1,1,0,0,1,13,2,0,0,0,1,0,0,0,2
San Marino,SMR,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,2,0,0,0,1,4,5,1,3,0,0,0,0,0,0,0,2,0,0,0,0,9,65,15,481,36,0,0,0,0,2,0,0,2,18,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,15,0,0,221,687,15,9,0,4229,0,0,1,6,5,30,0,0,3,0,0,1,0,0,0,0,100,0,0,1,0,4,2,0,4,2,0,0,1,0,0,20,0,0,0,0,0,1,1,1,1,11,15,0,1,0,1,12,14,32,2,4,0,0,0,1,6,1,1,0,3,2,6,0,24,0,2,0,1,3,1,1,9,1,17,0,0,0,0,0,4,0,1,0,0,0,0,0,4,0,0,0,1,0,0,4,3,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1
Serbia and Montenegro,SCG,55365,2622,5,13,12,53,19,18,14,0,53,443,2,4,0,4,41,3,1,1,18,1,3,10,404,995,96,7,427,18,20,13,397,1062,1297,181,797,43,14,36,3,138,4,27,558,14,62,16,5,2468,18279,65438,116568,127,45,51,1,97,0,582,33,38,1421,1442,421,359,0,5,0,27,7,3,253,17,7,8,3,34,2,5,7,3,127,18,41,9,1162,10,1,10,71,25,5,105,4,652,9,41,0,10,2,7,143563,20382,11647,2087,8765,425358,32502,5110,764,47190,6498,53098,265,2002,75099,161068,561,408,11832,18,60840,147,27,2411,58,293,0,453,81,86830,717,4799,27388,25,4227,1434,1518,7800,149,289,43,5477,70,0,126,87,108,317,317,382,200,3111,4295,112419,181,216,1143,3384,15447,8839,4805,1335,106,0,162,631,5917,1919,363,19,649,170,1651,3,6839,16,481,96,350,827,324,248,2639,208,4603,15,18,31,82,19,1237,108,268,19,0,44,16,112,1074,37,0,19,242,26,84,1211,707,7,666,56,53,2,0,104,1135,171,34,1,5,78,12,30,0,145
Albania,ALB,1451,66,0,6,6,25,9,5,7,0,2,201,0,2,0,0,19,2,0,0,9,0,1,0,186,466,31,3,201,8,9,6,466,500,3105,85,375,31,7,17,1,65,5,13,262,6,29,8,3,1157,8568,6281,39861,8,19,13,0,7,19,32,6,28,2330,38,30,3,0,3,0,7,4,1,118,8,3,4,27,14,1,1,3,1,10,8,18,4,547,4,1,5,33,12,2,49,0,307,4,19,0,5,1,3,2149,1413,114,40,2852,92415,3130,403856,214,167439,243,437,41,467,538,3426,1,2,212,8,218,97,17,25001,27,193,13451,0,38,129,79,178,141,12,64,204,17,61,70,2,5,2577,33,0,59,41,51,149,149,180,94,1459,2021,3313,85,31,99,1592,2244,4158,418,496,37,0,24,92,859,167,180,9,322,126,777,1,3206,7,226,45,164,389,152,116,1238,98,2165,7,8,15,39,9,580,51,126,9,0,21,8,53,503,17,0,9,113,12,39,570,332,3,312,26,25,1,0,49,532,80,16,1,2,37,5,14,0,68
Bulgaria,BGR,2571,507,0,7,6,28,10,6,7,0,3,222,0,2,0,0,21,2,0,0,10,0,1,1,259,517,239,4,222,9,10,8,713,552,5213,94,414,42,7,19,2,72,8,14,290,7,32,8,3,1281,9488,9567,35970,216,21,13,0,77,51,131,16,66,2580,226,100,79,0,3,0,7,5,2,131,9,4,4,74,67,6,1,4,2,167,10,23,5,604,5,1,5,37,13,3,55,0,339,5,21,0,5,1,4,7108,2323,754,501,7996,23165,5532,38884,609,8856,171,1872,628,27071,3825,3168,86,2,1038,9,5,18,4,95,30,37,2554,84,0,142,1740,4688,1242,13,1829,13985,1043,67,78,54,34,2845,37,0,66,1568,3372,165,49809,198,104,11732,2231,480817,94,722,4400,9800,51583,4592,18490,1837,163,0,542,2108,19758,7384,188,10,335,83,858,2,3550,8,250,50,182,430,168,129,1370,108,2391,8,9,16,43,10,642,56,139,10,0,23,8,58,557,19,0,10,125,14,43,629,367,3,346,29,27,1,0,54,589,89,18,1,2,40,6,16,0,75
Croatia,HRV,51909,2282,4,5,4,19,7,10,5,0,49,170,2,1,0,4,15,1,0,0,7,1,1,10,148,359,43,2,154,6,7,5,143,383,467,65,287,15,5,13,1,50,2,10,201,5,22,6,2,889,6586,39656,41962,55,17,23,0,5,164,259,53,30,632,586,395,43,1,2,0,5,3,5,91,6,3,3,1,46,1,0,2,1,0,6,14,3,419,3,0,4,26,9,2,38,0,235,3,15,0,3,1,2,38994,32,593,877,30591,243614,7474,361,563,19968,303,148,93,876,5726,25243,92,115,1936,6,33637,56,10,127,21,113,7858,56,29,0,24,1694,4444,9,891,1081,273,8136,54,36,5,1973,25,0,46,31,39,114,114,138,72,1121,1547,223,65,21,56,1219,1489,3185,234,374,28,0,16,61,570,94,147,7,262,141,595,1,2464,6,173,35,126,298,117,89,951,75,1658,5,6,11,30,7,446,39,97,7,0,16,6,40,387,13,0,7,87,9,30,436,255,2,240,20,19,1,0,37,409,62,12,0,2,28,4,11,0,52
Cyprus,CYP,19482,300,2,0,6,6,6,2,1,3,18,7,1,5,0,6,1,0,0,0,1,0,0,3,311,1131,15,5,46,2,2,10,50,113,147,78,85,5,2,2,0,15,1,29,165,1,7,2,1,269,1996,4400,11978,14,1,5,0,3,7,14,2,3,64,20,11,8,0,0,0,5,0,1,13,2,0,1,0,18,0,0,1,0,3,2,4,1,124,1,0,0,8,3,0,11,2,70,1,4,0,1,0,1,283,186,145,76,1023,16494,77829,22536,221,209,14,270,20,145,443,563,0,0,108,2,1,17,3,0,6,33,2303,1,9,3,0,54,125,1,46,1,12,2,16,1,3,585,8,0,14,9,12,34,34,41,21,331,459,10391,240,21,107,43,1476,944,450,138,19,0,16,60,565,180,57,3,102,110,176,1,115,1,3,2,9,17,36,13,47,4,492,1,0,1,25,2,104,11,0,1,0,1,0,1,5,4,0,2,25,3,9,129,48,0,70,5,4,0,0,11,69,0,2,0,0,5,1,3,16,15
Czech Republic,CZE,6973,664,1,3,3,12,4,3,3,0,7,98,0,1,0,1,9,1,0,0,4,0,1,1,114,223,113,2,96,4,4,4,108,238,461,41,179,10,3,8,1,31,1,6,125,3,14,4,1,553,4097,24627,52471,221,12,22,0,65,66,95,50,96,1114,609,144,16,0,2,0,25,4,3,57,4,2,2,13,27,2,0,2,1,6,4,9,2,261,2,1,2,16,6,1,24,4,146,2,9,0,2,0,2,54699,2345,1879,240,7799,43703,12407,3727,1191,4461,257,3329,130,1891,4792,11459,104,1,775,4,26,21,4,5,13,42,2965,286,18,61,191,0,2494,6,6636,458,75585,98,34,182,75,1229,16,0,28,19,24,71,71,86,45,697,964,1026,40,29,134,11068,2060,1983,562,263,20,0,22,84,789,224,130,7,232,280,371,1,1533,4,108,22,78,186,73,56,592,47,1033,3,4,7,20,4,277,38,60,4,0,10,4,25,241,13,0,7,72,6,19,272,159,1,200,13,12,1,0,23,254,38,8,0,1,17,3,10,741,32
Hungary,HUN,22752,989,2,3,3,13,5,6,3,0,22,114,1,1,0,2,10,1,0,0,5,0,1,4,164,249,266,3,107,4,5,5,160,266,863,45,199,13,4,9,1,35,2,7,140,3,15,4,1,617,4572,50831,94138,235,17,41,0,115,104,656,33,77,1243,2282,350,373,0,5,0,4,8,1,63,4,2,2,19,20,3,0,2,1,24,4,10,2,291,2,1,3,18,6,1,26,1,163,2,10,0,2,0,2,31029,5486,1604,873,11278,56781,13356,1588,458,4929,298,5333,217,1460,13794,12865,67,1,1509,4,39,22,4,7,14,45,3113,99,20,69,97,6200,0,6,1495,4053,17293,75,37,63,122,1371,18,0,32,22,27,79,79,96,50,778,1075,520,45,29,131,10903,2088,2212,550,287,22,0,22,85,800,220,110,6,197,138,413,1,1711,4,120,24,87,207,81,62,660,52,1152,4,4,8,21,5,309,27,67,5,0,11,4,28,269,9,0,5,60,7,21,303,177,2,167,14,13,1,0,26,284,43,9,0,1,20,3,8,0,36
Malta,MLT,46998,366,4,1,1,4,1,6,1,0,43,44,1,0,0,3,3,0,0,0,1,0,1,8,29,70,10,0,30,1,1,1,28,75,91,13,56,3,1,3,0,10,0,2,39,1,4,1,0,174,1285,9525,9092,4,3,5,0,3,11,5,2,7,350,6,13,0,0,0,0,1,1,0,18,1,0,1,0,2,0,0,1,0,16,1,3,1,82,1,0,1,5,2,0,7,4,46,1,3,0,1,0,0,85,128,47,21,851,5714,30226,101,232,937,18,222,23,116,96,256,0,0,56,1,1,5,1,0,4,11,748,0,6,19,9,8,2,0,5,30,3,0,11,0,1,387,5,0,9,6,8,22,22,27,14,219,303,44,13,4,11,239,291,624,46,73,5,0,3,12,111,18,35,2,63,59,117,0,481,1,34,7,25,58,23,17,186,15,325,1,1,2,6,1,87,8,19,1,0,3,1,8,76,3,0,1,17,2,6,86,50,0,47,4,4,0,0,7,80,12,2,0,0,5,1,2,0,10
Poland,POL,58110,1946,5,16,16,66,24,21,17,0,55,550,2,5,0,4,51,4,1,1,23,1,3,11,596,1246,468,10,534,22,25,19,533,1327,1949,227,995,55,18,45,4,172,6,34,697,17,77,20,7,3089,22883,182159,477667,938,80,185,1,354,201,861,165,157,13703,5958,448,1414,2,24,2,351,38,1,316,22,9,5,17,80,14,7,9,4,222,23,52,12,1452,12,3,13,88,31,7,131,5,815,12,51,1,12,2,9,42005,19894,10723,1173,114082,308096,61581,15478,2175,36975,1027,17351,358,16423,41608,12713,1786,5,6712,22,23,97,19,9,72,194,13567,128,102,343,200,24707,2685,31,0,695,3473,64,186,1507,3848,6840,88,0,277670,108,23118,396,396,477,249,59698,5364,3415,226,182,877,78900,12997,11039,3686,1502,117,0,137,531,4978,1472,504,26,900,461,2062,4,8562,20,601,120,438,1033,405,310,3303,260,5748,19,22,39,103,24,1548,135,336,23,0,55,20,140,1344,46,1,23,302,33,105,1513,885,8,834,70,66,3,0,130,1421,214,43,2,6,98,15,38,0,181
Romania,ROM,12821,922,1,8,8,34,12,9,9,0,13,274,0,3,0,1,26,2,0,0,12,0,2,2,501,631,1004,8,271,11,13,16,325,673,1482,115,505,30,9,23,2,87,3,17,353,9,39,10,3,1562,11568,61382,139189,240,33,56,0,290,219,727,40,110,3145,2816,374,470,0,8,1,9,13,2,160,11,4,5,2,72,7,21,4,2,14,11,25,6,737,6,2,6,45,16,3,67,2,413,6,26,0,6,1,4,39243,7320,2145,705,26592,140981,8148,26553,5842,81240,583,4554,2804,59302,12343,8263,85,3,1411,11,7,59,11,2,37,117,8178,554,52,174,1529,11961,143727,16,4190,0,3207,133,95,353,64,3470,45,0,80,622,68,201,201,242,127,2074,2721,20736,114,236,1342,122500,16854,5600,5640,1031,85,0,177,689,6456,2252,260,13,464,256,1046,2,4328,10,305,61,221,524,205,157,1671,132,2916,10,11,20,52,12,786,69,170,12,0,28,10,71,680,23,0,12,153,17,53,768,451,4,422,36,34,20,0,66,718,108,22,1,3,49,7,19,0,92
Slovakia,SVK,2984,140,0,4,4,16,6,4,4,0,3,131,0,1,0,0,13,1,0,0,6,0,1,1,144,305,107,2,131,5,6,5,122,326,398,56,245,13,4,11,1,42,1,8,171,4,19,5,2,756,5602,10741,33676,23,13,12,0,35,34,20,25,21,1523,314,55,15,0,2,0,13,3,1,77,5,2,3,1,8,3,1,2,1,4,5,12,3,357,3,1,3,22,8,2,32,1,200,3,12,0,3,0,2,16016,914,868,114,4876,23242,5366,414,333,3612,95,1843,30,1217,3434,3950,3,1,419,5,13,9,2,1,18,18,1276,1094,25,84,38,285372,37439,8,3181,1515,0,35,46,697,80,1680,22,0,39,27,33,97,97,117,61,954,1318,315,55,25,91,5829,1764,2712,382,331,25,0,19,72,676,153,117,6,210,82,507,1,2096,5,148,30,107,254,99,76,809,64,1412,5,5,10,25,6,379,33,82,6,0,14,5,34,329,11,0,6,74,8,26,372,217,2,204,17,16,1,0,32,348,52,10,0,1,24,4,9,0,44
Slovenia,SVN,6685,174,1,1,1,4,1,2,1,0,6,30,0,0,0,0,3,0,0,0,1,0,0,1,32,66,26,1,28,1,1,1,26,71,86,12,53,3,1,2,0,9,0,2,37,1,4,1,0,164,1217,14679,6142,33,3,6,0,2,0,48,8,9,278,268,41,20,0,1,0,1,1,0,17,1,0,1,0,4,0,0,0,0,1,1,3,1,77,1,0,1,5,2,0,7,0,43,1,3,0,1,0,0,21044,17,69,35,10197,6952,1288,109,37,4488,85,33,31,201,765,4042,0,61,58,1,97,7,1,23,4,14,948,78,5,21985,5,259,695,2,248,127,42,0,10,50,7,365,5,0,8,6,7,21,21,25,13,207,286,146,12,4,11,225,286,589,47,69,5,0,3,12,109,19,23,1,42,6,110,0,455,1,32,6,23,55,22,16,176,14,307,1,1,2,5,1,82,7,18,1,0,3,1,7,71,2,0,1,16,2,6,81,47,0,44,4,4,0,0,7,76,11,2,0,0,5,1,2,0,10
Estonia,EST,2389,100,0,1,1,6,2,1,2,0,2,47,0,0,0,0,4,0,0,0,2,0,0,0,50,109,35,1,46,2,2,2,43,115,142,20,87,5,2,4,0,15,0,3,61,1,7,2,1,269,1995,6713,10324,7,5,5,0,4,2,40,4,4,22,9,18,3,0,0,0,2,0,1,28,2,1,1,0,6,0,1,1,0,0,2,4,1,126,1,0,1,8,3,1,11,0,71,1,4,0,1,0,1,184,938,632,30658,731,10803,2104,62,525,316,30,1631,225,206,12458,399,26,0,527,2,1,9,2,0,6,17,1193,28,9,30,8,61,81,3,325,81,9,1,0,6514,1113,67402,8,0,14,54,880,34,34,41,22,12912,466,113,20,13,59,5039,928,960,246,125,10,0,10,38,356,98,39,2,70,16,179,0,747,2,52,10,38,90,35,27,288,23,500,2,2,3,9,2,135,12,29,2,0,5,2,8,117,4,0,2,26,3,9,132,77,1,72,6,6,0,0,11,124,19,4,0,1,9,0,3,0,16
Latvia,LVA,6688,247,1,2,2,7,3,2,2,0,6,61,0,1,0,0,6,0,0,0,3,0,0,1,59,138,25,1,59,2,3,2,55,146,180,25,110,6,2,5,0,19,1,4,77,2,9,2,1,342,2534,8063,28759,18,7,10,0,8,11,107,1,6,38,51,37,148,1,0,0,2,1,0,35,2,1,1,0,6,0,1,1,0,7,2,5,1,160,1,0,1,10,3,1,15,0,90,1,6,0,1,0,1,416,1532,1076,1091,1191,8213,4363,58,2281,517,16,2759,71,524,3103,568,24,1,536,2,1,4,1,0,8,8,542,52,11,38,46,132,92,3,2311,125,14,2,4326,0,8357,102518,10,0,1571,81,880,44,44,53,28,19787,592,66,25,19,93,8566,1390,1219,390,165,13,0,15,57,533,156,46,2,82,2,228,0,948,2,66,13,49,114,45,34,366,29,635,2,2,4,11,3,171,15,37,3,0,6,2,12,149,5,0,3,33,4,12,167,98,1,92,8,7,0,0,14,157,24,5,0,1,11,0,4,0,20
Lithuania,LTU,3687,109,0,3,2,10,4,3,3,0,4,85,0,1,0,0,8,1,0,0,4,0,0,1,90,196,57,1,84,3,4,3,77,208,255,36,156,8,3,1,1,27,1,5,109,3,12,3,1,487,3607,7214,30464,68,9,11,0,11,11,113,5,7,53,78,19,481,0,1,0,3,1,1,50,3,1,2,1,30,0,1,1,1,8,3,8,2,228,2,0,2,14,5,1,21,0,128,2,8,0,2,0,1,393,1574,1733,628,1299,10977,4463,171,2121,699,25,3607,132,4286,1668,550,62,1,774,3,2,5,1,1,11,10,672,344,16,54,26,166,78,5,80294,520,27,11,2101,20002,0,86199,14,0,4482,108,3470,62,62,75,39,17901,843,261,36,28,132,11961,1972,1735,553,234,18,0,21,81,756,221,70,4,126,29,324,1,1350,3,94,19,69,162,64,49,520,41,903,3,3,6,16,4,244,21,53,4,0,9,3,17,212,7,0,4,48,5,16,238,139,1,131,11,10,1,0,20,224,34,7,0,1,15,0,6,0,28
Russian Federation,RUS,15021,2961,2,104,98,416,148,88,109,0,21,3337,1,33,0,2,322,28,2,3,146,0,18,4,4505,7897,2540,71,3346,139,3412,146,3136,8318,10597,1435,6242,339,110,48,25,1080,33,211,4368,10,490,130,42,19564,144915,53109,363035,1273,305,117,4,385,755,587,330,462,2124,3144,620,448,13,13,1,601,15,3,2003,135,54,32,323,404,87,21,54,25,134,132,309,74,9103,72,21,80,554,196,41,823,1,5107,71,319,3,76,12,54,7032,3358,2999,10214,18211,331905,16400,72745,2575,11324,482,5415,2331,14023,11365,8992,758,33,5857,139,13,72,22,19,452,144,10059,2528,637,2173,3678,13334,6537,197,58079,5494,1790,527,190599,374730,95666,0,30532,111486,801148,143747,2189442,225400,171722,68953,69046,4868198,470022,19856,1432,1121,5351,479145,80060,69216,22488,9380,727,0,842,3272,30666,8981,4666,235,8336,10448,12932,25,54236,124,3766,754,2774,6478,2537,1965,20890,1647,36044,119,140,259,652,152,9798,846,2126,146,0,351,129,673,8515,289,3,146,1912,206,656,9487,5578,52,5273,446,417,35,0,813,9000,1356,271,10,77,618,19,236,0,1133
Armenia,ARM,900,24,1,2,30,27,28,0,7,17,1,3,0,24,0,20,4,1,1,0,5,0,1,0,1462,5371,21,22,217,9,10,48,236,539,700,374,404,23,7,1,2,70,3,139,784,7,34,9,3,1289,9548,1936,69494,51,4,20,0,9,1,32,1,13,49,97,10,238,0,1,0,23,1,1,62,9,2,6,2,4,1,1,3,2,3,8,20,5,589,5,0,1,36,14,0,53,0,331,4,21,0,3,1,4,479,865,555,86,6182,17131,745,8983,62,177,8,1762,55,3100,733,595,1,2,119,9,5,6,2,2,29,11,796,31,41,16,332,922,199,6,879,39,106,8,76,5808,685,481328,0,0,7151,23228,7234,161,161,194,7764,70287,2178,795,1150,1499,188,11106,3353,4482,791,559,80,0,35,137,1284,316,208,11,371,203,837,3,549,5,13,8,41,82,172,60,225,18,2334,6,2,3,122,8,498,52,1,3,0,4,2,17,23,18,0,9,120,13,42,614,229,0,330,25,17,1,0,53,328,2,8,1,0,22,0,15,0,73
Azerbaijan,AZE,144,30,2,3,54,47,48,0,12,29,0,5,0,42,0,35,7,2,1,0,9,0,2,0,2569,9450,23,38,381,16,18,83,415,948,1232,658,711,41,13,3,3,123,4,245,1379,1,60,16,5,2267,16795,1139,15982,15,1,5,0,19,4,5,2,3,105,171,1,1,0,1,0,40,1,1,108,15,3,10,3,1,1,1,6,3,0,15,34,8,1037,8,0,2,63,25,0,94,0,582,8,36,0,5,1,6,182,83,140,40,328,26520,784,397,53,93,6,2600,11,179,446,331,2,4,159,16,8,4,2,3,52,9,620,41,73,28,11,184,51,10,313,51,11,14,133,9563,1346,846104,152213,0,4464,10221,38270,283,283,341,8457,122274,3832,16787,2024,2350,501,23613,7839,7886,2104,1035,146,0,82,320,3003,840,300,15,537,31,1473,5,965,8,24,14,73,145,302,106,395,31,4107,10,4,5,214,14,875,92,1,4,0,7,3,33,41,31,0,16,211,23,75,1081,402,0,581,43,30,1,0,93,578,4,15,1,0,39,1,26,0,129
Belarus,BLR,1039,115,0,15,15,62,22,13,16,0,2,495,0,5,0,0,48,4,0,0,22,0,3,0,453,1167,35,7,497,21,23,15,459,1235,1516,212,927,50,16,3,4,160,5,31,649,1,72,19,6,2894,21440,4622,40886,2,44,13,1,27,4,5,4,6,147,93,8,6,0,1,0,16,1,3,296,20,8,10,4,7,13,2,8,4,4,20,45,11,1352,11,3,12,82,29,6,122,0,759,10,47,0,11,2,8,466,406,305,149,1012,31771,1285,579,514,2087,47,475,132,827,1075,414,3,5,229,21,11,6,2,4,67,11,800,673,95,322,96,1308,223,29,105489,1352,174,22,14883,21449,56273,935782,82,0,0,406,54692,368,3057,444,232,364789,4995,301,212,109,435,33100,7754,10279,1826,1284,98,0,82,317,2970,729,439,23,785,280,1921,4,8024,18,559,112,410,962,377,291,3093,244,5353,18,21,37,96,22,1449,124,314,22,0,52,19,45,1260,42,1,22,281,31,97,1409,826,8,776,66,62,2,0,121,1332,201,40,1,6,91,1,35,0,168
